Matrix,Threads,Config,Optimization,Time_ms,Speedup_vs_Serial,Speedup_vs_Phase1,Improvement_Percent
40k_0p02.mtx,4,RegBlock-4 + Baseline,Baseline,0.1757,11677.1,-17.15,-17.15
40k_0p02.mtx,4,RegBlock-8 + Baseline,Baseline,0.1827,11229.8,-21.81,-21.81
40k_0p02.mtx,4,Prefetch-8 + Baseline,Baseline,0.1950,10523.3,-29.99,-29.99
40k_0p02.mtx,4,Prefetch-16 + Baseline,Baseline,0.1888,10868.3,-25.86,-25.86
40k_0p02.mtx,4,RegBlock4 + Prefetch8,Combined,0.1852,11075.7,-23.51,-23.51
40k_0p02.mtx,4,RegBlock4 + Prefetch16,Combined,0.1832,11201.5,-22.12,-22.12
40k_0p02.mtx,4,RegBlock8 + Prefetch8,Combined,0.1889,10861.5,-25.94,-25.94
40k_0p02.mtx,8,RegBlock-8 + Baseline,Baseline,0.1013,20393.3,-8.51,-8.51
40k_0p02.mtx,8,Prefetch-8 + Baseline,Baseline,0.1087,19000.7,-16.46,-16.46
40k_0p02.mtx,8,Prefetch-16 + Baseline,Baseline,0.1047,19730.4,-12.15,-12.15
