matrix,rows,cols,density_pct,nnz,threads,configuration,time_ms,speedup,efficiency_pct,std_dev_ms,improvement_pct,exit_code,notes
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Static+SIMD, chunk=16",0.049,2939.29,12247.1,0.002,99.50,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Static+SIMD, chunk=32",0.046,3125.78,13024.1,0.002,99.53,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Dynamic+SIMD, chunk=8",0.135,1075.72,4482.2,0.002,98.65,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Dynamic+SIMD, chunk=16",0.073,1985.33,8272.2,0.002,99.27,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Dynamic+SIMD, chunk=32",0.056,2605.71,10857.1,0.002,99.44,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Guided+SIMD, chunk=8",0.057,2552.73,10636.4,0.002,99.43,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Guided+SIMD, chunk=16",0.053,2720.68,11336.2,0.002,99.47,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Guided+SIMD, chunk=32",0.050,2913.35,12139.0,0.002,99.50,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Static+SIMD+Affinity,",0.046,3189.92,13291.3,0.003,99.54,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Static+SIMD+Affinity,",0.045,3220.40,13418.3,0.002,99.55,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Guided+SIMD+Affinity,",0.050,2896.87,12070.3,0.002,99.50,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Guided+SIMD+Register,",0.050,2887.89,12032.9,0.002,99.50,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Guided+SIMD+Register,",0.054,2711.21,11296.7,0.002,99.46,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Static+SIMD+Register,",0.040,3615.79,15065.8,0.001,99.60,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Static+SIMD+Register,",0.042,3466.41,14443.4,0.001,99.58,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Task-based+SIMD",91.553,1.59,6.6,3.838,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Guided+SIMD+Align+Affin,",0.046,3132.76,13053.2,0.002,99.54,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Static+SIMD+Align+Affin,",0.041,3561.20,14838.3,0.001,99.59,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Static (default)",8.914,15.73,65.6,0.037,0.00,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Static, chunk=8",8.959,15.65,65.2,0.031,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Static, chunk=32",9.100,15.41,64.2,0.033,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Dynamic, chunk=8",8.916,15.73,65.5,0.017,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Dynamic, chunk=16",8.905,15.75,65.6,0.023,0.11,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Dynamic, chunk=32",8.937,15.69,65.4,0.025,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Dynamic, chunk=64",9.337,15.02,62.6,0.027,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Guided, chunk=8",8.823,15.90,66.2,0.045,1.03,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Guided, chunk=16",8.878,15.80,65.8,0.022,0.41,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Guided, chunk=32",8.912,15.74,65.6,0.024,0.02,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Auto (runtime)",8.873,15.81,65.9,0.020,0.46,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Static+SIMD, chunk=8",0.053,2655.02,11062.6,0.003,99.41,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Static+SIMD, chunk=16",0.046,3068.59,12785.8,0.002,99.49,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Static+SIMD, chunk=32",0.044,3185.59,13273.3,0.004,99.51,0,""
